Edad,Género,¿Eres estudiante foráneo?,Semestre actual,¿Con qué frecuencia realizas actividades deportivas?,¿Qué tan interesado/a estarías en participar en actividades deportivas grupales?,¿Cuánto tiempo estarías dispuesto/a a dedicar a actividades deportivas por semana?,Me considero una persona sociable.,Me siento cómodo/a participando en actividades grupales.,¿Qué tan fácil se te hace hacer nuevas amistades en la universidad?, ¿Qué factores dificultan tu participación en actividades deportivas?,¿Te gustaría que la universidad facilite una aplicación para conocer personas mediante deportes?,¿Te gustaría recibir recomendaciones de actividades deportivas basadas en personas con intereses similares?,¿Participarías en una actividad deportiva si el sistema te recomendara compañeros compatibles contigo?,¿Qué tan importante consideras la afinidad personal al momento de realizar actividades deportivas grupales?,¿Crees que las actividades deportivas ayudan a mejorar la integración social universitaria?,Facultad_ARQUITECTURA Y DISEÑO,Facultad_CIENCIAS DE LA COMUNICACIÓN,Facultad_CIENCIAS DE LA SALUD,"Facultad_DERECHO, POLÍTICA, DESARROLLO","Facultad_EMPRENDIMIENTO, NEGOCIOS, ECONOMÍA",Facultad_ESTUDIOS INTERNACIONALES,Facultad_HUMANIDADES,Facultad_INGENIERÍA,Facultad_TURISMO Y HOSPITALIDAD,¿Cuál es tu deporte favorito?_Baile,¿Cuál es tu deporte favorito?_Basket,¿Cuál es tu deporte favorito?_Fútbol,¿Cuál es tu deporte favorito?_Gym/Fitness,¿Cuál es tu deporte favorito?_Natación,¿Cuál es tu deporte favorito?_Pádel,¿Cuál es tu deporte favorito?_Running,¿Cuál es tu deporte favorito?_Tenis,¿Cuál es tu deporte favorito?_Tenis de mesa,¿Cuál es tu deporte favorito?_Volley,¿Cuál es tu principal motivaci_Competencia,¿Cuál es tu principal motivaci_Diversión,¿Cuál es tu principal motivaci_Mejorar condición física,¿Cuál es tu principal motivaci_Mejorar salud,¿Cuál es tu principal motivaci_Reducir estrés,¿Cuál es tu principal motivaci_Socializar,¿Cómo describirías tu personal_Ambidivertida,¿Cómo describirías tu personal_Extrovertida,¿Cómo describirías tu personal_Introvertida,¿En qué horarios prefieres rea_Mañana,"¿En qué horarios prefieres rea_Mañana, Noche","¿En qué horarios prefieres rea_Mañana, Tarde","¿En qué horarios prefieres rea_Mañana, Tarde, Noche",¿En qué horarios prefieres rea_Noche,¿En qué horarios prefieres rea_Tarde,"¿En qué horarios prefieres rea_Tarde, Noche",¿Qué deportes practicas o_Baile,¿Qué deportes practicas o_Basket,¿Qué deportes practicas o_Fútbol,¿Qué deportes practicas o_Gym/Fitness,¿Qué deportes practicas o_Natación,¿Qué deportes practicas o_Pádel,¿Qué deportes practicas o_Running,¿Qué deportes practicas o_Tenis,¿Qué deportes practicas o_Tenis de mesa,¿Qué deportes practicas o_Volley,¿Qué tipo de actividades _Al aire libre,¿Qué tipo de actividades _Bajo techo,¿Qué tipo de actividades _Competitivas,¿Qué tipo de actividades _Grupales,¿Qué tipo de actividades _Individuales,¿Qué tipo de actividades _Recreativas,¿Qué días tienes disponib_Jueves,¿Qué días tienes disponib_Lunes,¿Qué días tienes disponib_Martes,¿Qué días tienes disponib_Miércoles,¿Qué días tienes disponib_Sábado,¿Qué días tienes disponib_Viernes
0,1,0,3,0,5,0,1,3,2,Falta de tiempo,5,3,2,4,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,0,0,3,1,3,1,3,3,4,"Falta de tiempo, Horarios incompatibles",4,4,4,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
0,0,0,3,2,3,2,4,3,4,"Horarios incompatibles, Distancia",5,4,4,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,3,2,4,0,1,2,1,"Falta de tiempo, Vergüenza/inseguridad",1,1,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0,3,0,2,0,1,1,1,"Vergüenza/inseguridad, Poco interés",2,1,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
0,1,1,4,3,4,1,3,3,3,Falta de compañeros,5,5,4,4,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
0,0,0,3,2,1,1,2,2,2,"Horarios incompatibles, Poco interés",2,4,3,3,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
0,1,1,4,4,5,3,2,5,3,"Horarios incompatibles, Distancia",5,5,5,5,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
0,1,0,3,0,2,0,3,3,2,"Vergüenza/inseguridad, Poco interés",3,3,3,4,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,1,0,4,2,3,0,3,3,4,"Falta de compañeros, Horarios incompatibles",5,3,4,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0,0,4,2,3,1,3,4,3,"Falta de compañeros, Horarios incompatibles",5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0,1,0,3,3,5,3,1,5,1,"Falta de tiempo, Falta de dinero",5,5,5,5,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1
0,0,0,4,3,4,1,4,4,4,"Falta de tiempo, Horarios incompatibles",4,4,4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
0,1,0,3,2,3,1,3,3,3,Falta de tiempo,4,4,4,4,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
0,1,0,1,0,4,1,4,4,3,"Falta de tiempo, Falta de compañeros",3,3,4,4,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,1,0,4,3,5,1,5,5,3,Horarios incompatibles,3,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
0,0,0,2,0,3,1,2,2,1,"Falta de tiempo, Horarios incompatibles",5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,4,1,5,0,2,3,3,"Vergüenza/inseguridad, Horarios incompatibles",5,5,5,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,1,4,1,4,4,3,Poco interés,5,5,5,4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,1,2,2,4,1,2,4,1,"Falta de tiempo, Falta de compañeros",5,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,1,3,3,1,4,4,4,"Falta de tiempo, Distancia",4,4,4,5,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
0,0,0,1,3,1,0,2,1,2,Falta de tiempo,1,1,1,4,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1
0,1,0,0,3,5,1,5,5,5,"Falta de tiempo, Horarios incompatibles",5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1
0,1,0,1,3,5,3,4,4,3,"Falta de tiempo, Horarios incompatibles",4,5,5,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1
0,1,0,0,3,2,3,3,3,3,"Falta de tiempo, Horarios incompatibles",3,3,4,5,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1
0,1,0,0,3,4,3,3,3,3,"Falta de dinero, Distancia",4,4,4,3,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
0,1,0,0,3,3,3,5,4,4,Falta de tiempo,3,3,3,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
0,1,0,0,2,2,1,4,3,4,Falta de tiempo,3,4,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
0,1,0,1,3,5,2,5,5,5,"Horarios incompatibles, Distancia",5,1,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,1,0,3,3,1,4,4,4,"Falta de tiempo, Falta de dinero",5,3,4,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
0,0,0,1,2,3,1,3,3,4,"Falta de tiempo, Vergüenza/inseguridad",4,4,3,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
0,0,1,0,2,3,1,3,2,2,"Falta de tiempo, Vergüenza/inseguridad",4,3,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0
0,1,0,0,2,4,0,4,4,4,"Horarios incompatibles, Distancia",5,5,3,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0
0,1,1,3,1,4,1,5,5,1,Falta de tiempo,4,4,4,4,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
0,0,0,2,1,1,0,1,1,1,"Vergüenza/inseguridad, Poco interés",3,1,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
0,0,0,2,2,2,0,3,3,4,Poco interés,4,4,4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0
0,1,0,1,4,1,1,5,5,5,Horarios incompatibles,5,5,5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0,3,1,2,1,3,3,3,"Falta de tiempo, Falta de dinero",4,4,4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,3,2,3,1,3,4,3,"Falta de tiempo, Falta de compañeros",3,4,4,4,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,1,0,2,3,5,1,3,5,5,Falta de tiempo,5,5,5,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1
